iter	RMSE
0	0.1304732351
1	0.12768473
2	0.1250001853
3	0.1223367363
4	0.1198403832
5	0.117347195
6	0.1150162009
7	0.112548259
8	0.1103416409
9	0.1080276474
10	0.1058893176
11	0.1039303201
12	0.1018269272
13	0.0998464245
14	0.09793555035
15	0.096048295
16	0.09427351363
17	0.09264128524
18	0.09103962888
19	0.0893581862
20	0.08773237337
21	0.08621437935
22	0.08470384136
23	0.08324683266
24	0.08187069153
25	0.08053159784
26	0.0791933588
27	0.07799173159
28	0.0767642181
29	0.07558667412
30	0.07453459348
31	0.07351646333
32	0.07250385517
33	0.07144857577
34	0.07041726968
35	0.06944529505
36	0.0684712113
37	0.0675575179
38	0.06670059903
39	0.06598719108
40	0.0651647128
41	0.06433608341
42	0.06353036629
43	0.0628228893
44	0.06209813275
45	0.06142700602
46	0.06074805735
47	0.06004451983
48	0.05939442031
49	0.0587963008
50	0.05821990903
51	0.05764914174
52	0.05708531854
53	0.05655462777
54	0.05603820537
55	0.05561154843
56	0.05508754813
57	0.05461983841
58	0.05418616818
59	0.05372651282
60	0.05332826224
61	0.05290842318
62	0.05255062839
63	0.05220702388
64	0.05188459286
65	0.05158785043
66	0.0512890463
67	0.05101332924
68	0.0506461512
69	0.05033712806
70	0.05008427343
71	0.0497591785
72	0.04948618437
73	0.04924489154
74	0.04898327781
75	0.04873626621
76	0.04847758294
77	0.0482585015
78	0.04800668654
79	0.04776288388
80	0.04758124169
81	0.04738361157
82	0.04715402844
83	0.04694414739
84	0.04675754149
85	0.04659544275
86	0.04642077084
87	0.04621445039
88	0.04605888255
89	0.04588927136
90	0.04569686239
91	0.04556985452
92	0.04537132779
93	0.04522351803
94	0.04505270783
95	0.0449146617
96	0.0447746838
97	0.04460851574
98	0.04446567292
99	0.04437053336
100	0.04420174904
101	0.04404214063
102	0.04387415519
103	0.0437607031
104	0.04362763012
105	0.0434907294
106	0.04332965719
107	0.04321642337
108	0.04311413642
109	0.04300299888
110	0.04291912594
111	0.04280897889
112	0.04266235083
113	0.04254543717
114	0.04242953297
115	0.04232266671
116	0.04218854261
117	0.0420835005
118	0.04200558784
119	0.04194182623
120	0.04186756016
121	0.04183158338
122	0.04176937453
123	0.04169052508
124	0.04154001697
125	0.04144379395
126	0.04133934674
127	0.04123504025
128	0.04114545457
129	0.04107514244
130	0.04101731928
131	0.04096192181
132	0.04088233604
133	0.04082275595
134	0.0407842577
135	0.04067513281
136	0.0406377365
137	0.04056357884
138	0.04044789793
139	0.04038023519
140	0.04033508561
141	0.04021656979
142	0.04012565919
143	0.04006153457
144	0.03997603742
145	0.03993022433
146	0.03986770598
147	0.03978395958
148	0.03970944023
149	0.03962327144
150	0.03956900621
151	0.0394921792
152	0.03940263482
153	0.03936315105
154	0.0393481149
155	0.03929085491
156	0.03921813775
157	0.03916663171
158	0.03911140107
159	0.03906730555
160	0.0390241998
161	0.03899763073
162	0.03890470679
163	0.03883047711
164	0.0387742105
165	0.03866443695
166	0.03861536933
167	0.03857123708
168	0.03852699556
169	0.03846391919
170	0.03837910249
171	0.03837337085
172	0.03829839919
173	0.03824752029
174	0.03820098877
175	0.03815292837
176	0.03812734212
177	0.03812094169
178	0.03807763742
179	0.03799830833
180	0.03792769646
181	0.03783859897
182	0.03777878151
183	0.03771190021
184	0.03762013788
185	0.03753368579
186	0.03749595866
187	0.03738582921
188	0.0373470039
189	0.03728697899
190	0.03725024081
191	0.03718848908
192	0.03711857113
193	0.03704047264
194	0.03696087141
195	0.03687053604
196	0.03682968789
197	0.03680937554
198	0.0367815135
199	0.03677316321
200	0.03670657902
201	0.03663714608
202	0.03656631302
203	0.03649755706
204	0.03641711921
205	0.03632762493
206	0.03630067399
207	0.03622080125
